,queryID,Time
0,"['701', 'describe', 'history', 'oil', 'industry']",0.0
1,"['702', 'pearl', 'farming', 'operations', 'actual', 'farming', 'operations', 'described', 'culturing', 'pearls', 'japanese', 'pearl', 'productions', 'status', 'pearl', 'farming', 'production']",0.0
2,"['704', 'goals', 'political', 'views', 'green', 'party']",0.0
3,"['705', 'identify', 'efforts', 'proposed', 'undertaken', 'world', 'governments', 'seek', 'reduction', 'iraqs', 'foreign', 'debt']",0.015626907348632812
4,"['706', 'methods', 'control', 'type', 'ii', 'diabetes']",0.0
5,"['707', 'evidence', 'aspirin', 'help', 'prevent', 'cancer']",0.0
6,"['708', 'sources', 'slate', 'stone', 'decorative']",0.0
7,"['709', 'limits', 'regulations', 'concerning', 'jockey', 'weight', 'horse', 'racing']",0.0
8,"['711', 'security', 'measures', 'employed', 'train', 'stations', 'due', 'heightened', 'security', 'concerns']",0.0
9,"['712', 'actual', 'examples', 'pyramid', 'schemes']",0.0
10,"['713', 'state', 'maryland', 'clean', 'chesapeake', 'bay']",0.0156252384185791
11,"['714', 'restrictions', 'placed', 'older', 'persons', 'renewing', 'drivers', 'licenses']",0.0
12,"['715', 'organizations', 'private', 'governmental', 'developing', 'drugs', 'combat', 'schizophrenia']",0.0
13,"['716', 'spammers', 'arrested', 'sued', 'sending', 'unsolicited', 'e', 'mail']",0.0
14,"['722', 'ways', 'iran', 'support', 'terrorism']",0.0
15,"['723', 'governments', 'definition', 'executive', 'privilege']",0.0
16,"['724', 'iran', 'contra', 'scandal', 'consequences']",0.0
17,"['725', 'cause', 'lowered', 'white', 'blood', 'cell', 'count']",0.0
18,"['727', 'identify', 'specific', 'instances', 'church', 'arson']",0.0
19,"['729', 'revelations', 'whistle', 'blowers', 'concerning', 'department', 'defense']",0.0
20,"['730', 'possible', 'complications', 'potential', 'dangers', 'gastric', 'bypass', 'surgery']",0.015624523162841797
21,"['733', 'regulations', 'regarding', 'airline', 'overbooking']",0.0
22,"['735', 'condition', 'afghan', 'women', 'better', 'new', 'government', 'taliban']",0.0
23,"['737', 'allegations', 'made', 'enrons', 'culpability', 'california', 'energy', 'crisis']",0.0
24,"['738', 'examples', 'anthrax', 'hoaxes']",0.0
25,"['739', 'organization', 'habitat', 'humanity', 'activities', 'involved']",0.0
26,"['740', 'regulates', 'assisted', 'living', 'facilities', 'maryland']",0.0
27,"['741', 'artificial', 'intelligence']",0.0
28,"['743', 'regulations', 'considerations', 'concerning', 'registering', 'freighter', 'country']",0.0
29,"['745', 'identify', 'doomsday', 'cult', 'name', 'location', 'world']",0.015624284744262695
30,"['746', 'jobs', 'outsourced', 'india']",0.0
31,"['747', 'control', 'oversight', 'computer', 'public', 'libraries']",0.0
32,"['749', 'people', 'puerto', 'rico', 'state']",0.0
33,"['750', 'senator', 'john', 'edwards', 'positions', 'womens', 'issues', 'pay', 'equity', 'abortion', 'title', 'ix', 'violence', 'women']",0.0
34,"['751', 'give', 'information', 'scrabble', 'players', 'scrabble', 'played', 'popular']",0.0
35,"['752', 'dams', 'removed', 'environmental', 'impact']",0.0
36,"['753', 'programs', 'schools', 'prevent', 'bullying', 'students']",0.0
37,"['755', 'history', 'location', 'scottish', 'highland', 'games', 'united', 'states']",0.0
38,"['757', 'show', 'examples', 'murals']",0.01562356948852539
39,"['760', 'statistics', 'regarding', 'american', 'muslims', 'mosques', 'schools']",0.0
40,"['761', 'describe', 'problems', 'faced', 'hmong', 'immigrants', 'united', 'states']",0.0
41,"['763', 'give', 'information', 'human', 'deaths', 'associated', 'hunting', 'game']",0.0
42,"['770', 'state', 'kyrgyzstan', 'united', 'states', 'relations']",0.0
43,"['771', 'deformities', 'found', 'leopard', 'frogs']",0.0
44,"['772', 'rules', 'guidelines', 'display', 'united', 'states', 'flag']",0.0
45,"['776', 'magnet', 'schools', 'considered', 'successful', 'districts', 'created']",0.0
46,"['782', 'varieties', 'oranges', 'season']",0.0
47,"['792', 'social', 'security', 'means', 'test']",0.0
48,"['794', 'pets', 'animals', 'therapy', 'humans', 'benefits']",0.0
49,"['795', 'reference', 'notable', 'cockers', 'spaniels']",0.0
50,"['798', 'history', 'development', 'locations', 'textile', 'mills', 'massachusetts']",0.0156252384185791
51,"['801', 'describe', 'origin', 'nature', 'extent', 'spread', 'means', 'controlling', 'kudzu']",0.0
52,"['802', 'impact', 'volcano', 'eruptions', 'global', 'temperature']",0.0
53,"['804', 'describe', 'resolutions', 'proposed', 'legislation', 'passed', 'ban', 'cloning', 'humans', 'rationale', 'bans']",0.01564645767211914
54,"['806', 'doctors', 'borders', 'medecins', 'sans', 'frontieres']",0.0
55,"['808', 'information', 'available', 'involvement', 'north', 'korean', 'government', 'counterfeiting', 'currency']",0.0
56,"['810', 'information', 'regarding', 'timeshare', 'resales']",0.0
57,"['811', 'state', 'recognizing', 'handwritten', 'inputs', 'computers']",0.015606880187988281
58,"['812', 'conditions', 'lead', 'doctors', 'recommend', 'total', 'knee', 'replacement', 'surgery', 'complications', 'result', 'surgery']",0.0
59,"['816', 'describe', 'efforts', 'made', 'usaid', 'protect', 'biodiversity', 'galapagos', 'islands', 'ecuador']",0.0
60,"['817', 'naming', 'rights', 'sports', 'stadiums', 'acquired']",0.0
61,"['818', 'known', 'culture', 'history', 'chaco', 'people', 'features', 'chaco', 'culture', 'national', 'historic', 'park']",0.01564502716064453
62,"['820', 'imported', 'fire', 'ants', 'controlled']",0.0
63,"['821', 'describe', 'work', 'home', 'scams', 'promoted', 'internet']",0.0
64,"['822', 'give', 'history', 'battle', 'big', 'horn', 'june', '25', '26', '1876', 'referred', 'custers', 'stand']",0.0
65,"['824', 'current', 'role', 'civil', 'air', 'patrol', 'training', 'participants', 'receive']",0.015624523162841797
66,"['825', 'describe', 'deployment', 'national', 'guard', 'units', 'iraq']",0.0
67,"['826', 'relationship', 'seminole', 'indians', 'florida']",0.0
68,"['829', 'information', 'kinds', 'material', 'international', 'support', 'provided', 'side', 'spanish', 'civil', 'war']",0.0
69,"['830', 'locate', 'past', 'present', 'model', 'railroad', 'layouts']",0.0
70,"['831', 'describe', 'security', 'measures', 'dulles', 'international', 'airport', 'virginia']",0.0
71,"['834', 'global', 'positioning', 'system', 'gps', 'research', 'monitoring', 'earthquakes']",0.0
72,"['835', 'bostons', 'central', 'artery', 'project', 'known', 'big', 'dig', 'characterized', 'pork']",0.0
73,"['836', 'level', 'wages', 'paid', 'illegal', 'immigrants']",0.0156252384185791
74,"['837', 'information', 'pre', '1500', 'history', 'eskimo', 'inuit', 'people']",0.0
75,"['838', 'humans', 'responded', 'respond', 'appearance', 'coyotes', 'urban', 'suburban', 'areas']",0.0
76,"['841', 'information', 'camels', 'north', 'america', 'prehistoric', 'modern', 'times']",0.0
77,"['843', 'pol', 'pot', 'did']",0.0
78,"['846', 'describe', 'evidence', 'heredity', 'play', 'role', 'obesity']",0.015625953674316406
79,"['847', 'role', 'portugal', 'world', 'war', 'ii']",0.0
80,"['849', 'scalable', 'vector', 'graphics']",0.0
81,"['850', 'frequently', 'mississippi', 'river', 'flood', 'banks']",0.0
82,[],0.0
83,[],0.0
